Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2021-01-21,2555.07421875,2653.8651661517147,2544.547569673912,2643.9811245645574,994932
2021-01-22,2567.775146484375,2621.247909641558,2537.3324905060654,2560.016318385271,1194708
2021-01-25,2655.742919921875,2676.5983432710536,2580.5749800279864,2580.5749800279864,1764152
2021-01-27,2570.24609375,2717.765415353742,2557.2486755060772,2666.7144367631254,1665899
2021-01-28,2591.990966796875,2668.197023884335,2550.626397580211,2563.9203852402165,1410605
2021-01-29,2531.55029296875,2645.4638786260066,2521.419149775805,2592.1889880181757,921579
2021-02-01,2632.614501953125,2645.513224609824,2498.784674105108,2559.966795591738,879244
2021-02-02,2673.78173828125,2713.1697453154225,2646.9466586355925,2648.4292650537973,607131
2021-02-03,2689.151123046875,2775.5870177154325,2672.6448220013176,2683.4183307140925,1286454
2021-02-04,2699.974365234375,2716.0359342507463,2654.8538078753127,2698.343594750411,455213
2021-02-05,2706.84375,2750.728798519003,2656.4843646114764,2708.2274193108397,941316
2021-02-08,2698.59033203125,2747.7634366987913,2693.4012104331678,2709.2156762558943,564043
2021-02-09,2756.955810546875,2803.707376234703,2706.3495651046464,2714.6520636416385,1052950
2021-02-10,2724.536376953125,2795.2072824318657,2713.8120940734057,2781.221458500837,745906
2021-02-11,2724.536376953125,2747.2696752190136,2698.343663733732,2727.9957919066296,581642
2021-02-12,2716.2333984375,2757.6474336229094,2694.4885082799,2735.9025434653095,693562
2021-02-15,3054.811279296875,3090.7398677273045,2728.440267653599,2744.798405077942,4446974
2021-02-16,3165.611572265625,3215.8225542161276,3011.6676171082227,3053.1805937798817,4381584
2021-02-17,3197.4873046875,3245.91910621136,3140.1598661490534,3140.1598661490534,2081001
2021-02-18,3070.724853515625,3200.255276623683,3058.1226995340285,3188.0978562853943,1477343
2021-02-19,2886.090576171875,3073.1955252729595,2862.418345642998,3054.2676828054105,2037556
2021-02-22,2895.57958984375,2933.484746356697,2833.6559215543334,2884.6082066337012,1246303
2021-02-23,2962.000244140625,3017.1037775053833,2903.4372961251643,2911.047960094786,1465930
2021-02-24,3024.170654296875,3083.820941140535,2965.261911873672,2980.0385056213827,1088420
2021-02-25,3055.50341796875,3103.5397172679973,3022.4411044551316,3065.0414219679565,819639
2021-02-26,3023.1826171875,3137.145677526951,2985.6232550110394,3034.4011021509023,2103433
2021-03-01,3045.421630859375,3062.076338845313,2972.675223502152,3003.8099570959635,678218
2021-03-02,3051.5,3115.449696459182,3031.8306137930713,3069.488906203677,944553
2021-03-03,3021.551513671875,3083.3267736013786,3014.0395455406037,3078.977891826185,536623
