Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2021-01-21,2732.302734375,2815.349617143629,2709.0798041987746,2756.1146087424263,1300181
2021-01-22,2839.666015625,2931.4215421946683,2742.062748166981,2747.1954159520064,3813020
2021-01-25,2923.8486328125,2961.880206588839,2824.646781528211,2875.8884105324328,2266967
2021-01-27,2825.908935546875,2931.4634554517424,2801.844601131936,2902.855603131031,1333633
2021-01-28,2858.597900390625,2914.719947767038,2797.806205494554,2809.4176706559415,1986409
2021-01-29,2739.6650390625,2932.305252669291,2714.717182454596,2877.5295400992177,1718833
2021-02-01,2810.84765625,2827.8021392621117,2707.0180612837457,2776.6445262992806,1285163
2021-02-02,2771.469970703125,2860.7852880419755,2743.8296542073185,2860.7852880419755,1751516
2021-02-03,2844.63037109375,2879.296317230292,2749.719568880361,2773.7417928568557,1077971
2021-02-04,2895.030517578125,2957.5471310194407,2864.235128741462,2895.282980892716,2425660
2021-02-05,2885.354736328125,2995.4108852176664,2832.177820124344,2944.9264320960206,2719249
2021-02-08,2940.719482421875,2950.7321504222136,2873.7433571055894,2926.4155536089506,1004959
2021-02-09,2944.46337890625,2976.8996784999763,2908.198839597584,2912.1113022296263,1543021
2021-02-10,2977.698974609375,3002.772958718541,2932.5154338000125,2936.51211934927,1477082
2021-02-11,2979.844482421875,2990.3620755406873,2922.67088731236,2965.119852055538,757116
2021-02-12,2958.178466796875,3012.2388995613487,2947.3662980752774,2975.1748574921717,566161
2021-02-15,2975.04736328125,3010.0312564739856,2963.5435411367876,2995.265090714056,809861
2021-02-16,2971.74267578125,2992.1320642211767,2946.3739421401783,2978.9969636440615,759332
2021-02-17,3076.8662109375,3086.309717723301,2968.05125774656,2973.3739196523093,1946207
2021-02-18,3024.36865234375,3115.541365999191,3009.902834688211,3073.1313143912807,1701157
2021-02-19,2910.05908203125,3024.368548542199,2893.1466642216833,3024.368548542199,995322
