Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-01-21,1179.3651123046875,1198.1600374653954,1175.227649705845,1188.4324547587196,6142421
2021-01-22,1180.37744140625,1193.7143153151292,1167.78892571395,1168.1850268607495,9646591
2021-01-25,1166.512451171875,1186.5837977384417,1155.8605966401967,1184.0308472818467,6542611
2021-01-27,1145.296630859375,1168.6691761875868,1131.2995175680549,1161.6705658114433,8133665
2021-01-28,1123.4649658203125,1141.2914557343506,1120.2518820021355,1137.1980514265915,4660690
2021-01-29,1090.760986328125,1136.6256556459916,1083.6743644373792,1132.3120643847108,12183519
2021-02-01,1109.9959716796875,1125.0053694528378,1092.4775748930736,1100.8846773780538,8880279
2021-02-02,1119.107177734375,1139.4866141052723,1112.3727059690884,1126.8099803343166,6892490
2021-02-03,1130.903564453125,1147.9377418137635,1120.647810835062,1124.7413219740633,8182968
2021-02-04,1126.2376708984375,1138.6062131817557,1119.8113976609816,1131.2115017172475,5032240
2021-02-05,1119.85546875,1134.5128237163976,1110.9642549215084,1132.444092435958,5477481
2021-02-08,1147.54150390625,1153.2195265295848,1122.8484779301416,1131.6516804227338,6921922
2021-02-09,1149.3023681640625,1172.5868003058606,1142.523836448464,1150.4907792397423,7965949
2021-02-10,1141.335205078125,1148.2456975542023,1129.9790523514478,1140.7190238869975,5951207
2021-02-11,1137.946044921875,1140.8950964026346,1129.494991625902,1134.7328543695958,4673317
2021-02-12,1153.04345703125,1165.3238810081975,1145.7808152799241,1148.8178770279114,5797875
2021-02-15,1152.911376953125,1169.4173807823101,1150.6665174479708,1162.0226695746428,4363513
2021-02-16,1135.9654541015625,1161.8028360866476,1132.0920228887508,1156.740993838117,6896421
2021-02-17,1127.954345703125,1139.574529672526,1122.408285308977,1135.9652382472548,4575741
2021-02-18,1137.77001953125,1149.6984035323842,1122.4084720549693,1123.2887924252084,6437551
2021-02-19,1136.757568359375,1143.976151339578,1123.992924885405,1140.9830410327988,5389696
